Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host_Countries,Count,Broadcast_Revenue,Sum_Revenue
"Robin ""Rob"" Bell",M,30,Australia,AUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze,China,1,1739,1739
Alexander Belonogoff,M,26,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver,Brazil,1,2868,2868
Mervyn Bennett,M,31,Australia,AUS,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,Canada,3,35,1640
Glenn Stuart Beringen,M,19,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,Silver,United States of America,5,287,1944.05
Kevin John Berry,M,15,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Italy,2,1.2,832.2
Kevin John Berry,M,19,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Butterfly,Gold,Japan,4,1.6,3694.1
Kevin John Berry,M,19,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Japan,4,1.6,3694.1
John Edwin Bertrand,M,29,Australia,AUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed One Person Dinghy,Bronze,Canada,3,35,1640
John Roderick Bestall,M,29,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
Tully Louise Bevilaqua (Crook-),F,36,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Silver,China,1,1739,1739
Dane Alex Bird-Smith,M,24,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,Bronze,Brazil,1,2868,2868
Warren Allen Birmingham,M,29,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
Abby Bishop,F,23,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze,United Kingdom,1,2569,2569
Marilyn Mary Black (-Vassella),F,20,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 200 metres,Bronze,Japan,4,1.6,3694.1
Michael James Blackburn,M,30,Australia,AUS,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed One Person Dinghy,Bronze,Australia,1,1332,1332
Jack Bobridge,M,23,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,United Kingdom,1,2569,2569
Jack Bobridge,M,27,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Brazil,1,2868,2868
Lee Andrew Bodimeade,M,22,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
"Joshua ""Josh"" Booth",M,25,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver,Brazil,1,2868,2868
"Mitchell Jay ""Mitch"" Booth",M,29,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Multihull,Bronze,Spain,1,636,636
"Mitchell Jay ""Mitch"" Booth",M,33,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Multihull,Silver,United States of America,5,898,1944.05
Katrin Borchert,F,27,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,United States of America,5,898,1944.05
Katrin Borchert,F,31,Australia,AUS,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,Australia,1,1332,1332
"Theodore ""Ted"" Boronovskis",M,21,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Judo,Judo Men's Open Class,Bronze,Japan,4,1.6,3694.1
Jodie Bowering,F,26,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze,China,1,1739,1739
"Deborah Ann ""Debbie"" Bowman-Sullivan",F,25,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,South Korea,2,403,1839
