Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host_Countries,Count,Broadcast_Revenue,Sum_Revenue
Lyndsie Fogarty,F,24,Australia,AUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,China,1,1739,1739
Selina Follas,F,24,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
David John Oliver Forbes,M,38,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold,Germany,1,18,18
John Robert Forbes,M,22,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Multihull,Bronze,Spain,1,636,636
John Robert Forbes,M,30,Australia,AUS,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Multihull,Silver,Australia,1,1332,1332
Michelle Jan Ford (-Eriksson),F,18,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 800 metres Freestyle,Gold,Russia,2,88,1377
Michelle Jan Ford (-Eriksson),F,18,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Butterfly,Bronze,Russia,2,88,1377
Russell Ford,M,28,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
Annemarie Forder,F,22,Australia,AUS,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze,Australia,1,1332,1332
Karsten Forsterling,M,32,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,Bronze,United Kingdom,1,2569,2569
Karsten Forsterling,M,36,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver,Brazil,1,2868,2868
"Timothy Charles ""Tim"" Forsyth",M,18,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,Bronze,Spain,1,636,636
Margot Elizabeth Foster,F,25,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,Bronze,United States of America,5,287,1944.05
Peter Foster,M,28,Australia,AUS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,South Korea,2,403,1839
"Jessica Esther ""Jess"" Fox",F,18,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,United Kingdom,1,2569,2569
"Jessica Esther ""Jess"" Fox",F,22,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze,Brazil,1,2868,2868
Joanne Kylie Fox,F,21,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,Australia,1,1332,1332
Dawn Lorraine Fraser,F,22,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Freestyle,Gold,Italy,2,1.2,832.2
Dawn Lorraine Fraser,F,22,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Italy,2,1.2,832.2
Dawn Lorraine Fraser,F,22,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Italy,2,1.2,832.2
Dawn Lorraine Fraser,F,27,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Freestyle,Gold,Japan,4,1.6,3694.1
Dawn Lorraine Fraser,F,27,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Japan,4,1.6,3694.1
"Suzannah ""Suzie"" Fraser",F,19,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,China,1,1739,1739
Clayton Fredericks,M,40,Australia,AUS,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,China,1,1739,1739
Lucinda Fredericks (Murray-),F,42,Australia,AUS,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,China,1,1739,1739
Duncan Seth Free,M,23,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Quadruple Sculls,Bronze,United States of America,5,898,1944.05
Duncan Seth Free,M,35,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Pairs,Gold,China,1,1739,1739
"Catherine Astrid Salome ""Cathy"" Freeman",F,23,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 400 metres,Silver,United States of America,5,898,1944.05
"Catherine Astrid Salome ""Cathy"" Freeman",F,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,Gold,Australia,1,1332,1332
Noel Frederick Freeman,M,21,Australia,AUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 20 kilometres Walk,Silver,Italy,2,1.2,832.2
"Christopher John ""Chris"" Fydler",M,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,Australia,1,1332,1332
Felicity Madeline Galvez,F,23,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,China,1,1739,1739
Felicity Madeline Galvez,F,23,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,China,1,1739,1739
Brendan James Garard,M,24,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,United States of America,5,898,1944.05
"Terrence Steven ""Terry"" Gathercole",M,24,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Italy,2,1.2,832.2
Paul Charles Gaudoin,M,20,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,United States of America,5,898,1944.05
Paul Charles Gaudoin,M,25,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Bevan Christopher George,M,27,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Bevan Christopher George,M,31,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
David James Giles,M,31,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Bronze,United States of America,5,898,1944.05
Rebecca Ellen Gilmore (-Manuel),F,21,Australia,AUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Women's Synchronized Platform,Bronze,Australia,1,1332,1332
Drew Cameron Ginn,M,21,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,Gold,United States of America,5,898,1944.05
Drew Cameron Ginn,M,29,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Pairs,Gold,Greece,1,1494,1494
Drew Cameron Ginn,M,33,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Pairs,Gold,China,1,1739,1739
Drew Cameron Ginn,M,37,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver,United Kingdom,1,2569,2569
Cameron Girdlestone,M,28,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver,Brazil,1,2868,2868
Brian Alan Glencross,M,23,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze,Japan,4,1.6,3694.1
Brian Alan Glencross,M,27,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Silver,Mexico,1,9.8,9.8
Taniele Gofers,F,23,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,China,1,1739,1739
"Matthew ""Matt"" Gohdes",M,22,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
"Douglas James ""Doug"" Golder",M,28,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver,Canada,3,35,1640
Paul Gonzalez,M,35,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Greece,1,1494,1494
Scott Linton Goodman,M,22,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,Bronze,United States of America,5,898,1944.05
Alastair Gordon,M,23,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver,Australia,1,1332,1332
Shelley Ann Gorman-Sandie,F,27,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze,United States of America,5,898,1944.05
Shelley Ann Gorman-Sandie,F,31,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Australia,1,1332,1332
"Shane Elizabeth Gould (-Innis, -Nelms)",F,15,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Freestyle,Bronze,Germany,1,18,18
"Shane Elizabeth Gould (-Innis, -Nelms)",F,15,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Freestyle,Gold,Germany,1,18,18
"Shane Elizabeth Gould (-Innis, -Nelms)",F,15,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 400 metres Freestyle,Gold,Germany,1,18,18
"Shane Elizabeth Gould (-Innis, -Nelms)",F,15,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 800 metres Freestyle,Silver,Germany,1,18,18
"Shane Elizabeth Gould (-Innis, -Nelms)",F,15,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Individual Medley,Gold,Germany,1,18,18
Kieran Govers,M,24,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
Elka Graham (-Whalan),F,18,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Australia,1,1332,1332
Kelvin John Graham,M,24,Australia,AUS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,South Korea,2,403,1839
Kelvin John Graham,M,28,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,Spain,1,636,636
David Michael Green,M,32,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,Spain,1,636,636
Ellia Green,F,23,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold,Brazil,1,2868,2868
"Nicholas David ""Nick"" Green",M,24,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,Gold,Spain,1,636,636
"Nicholas David ""Nick"" Green",M,28,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,Gold,United States of America,5,898,1944.05
Michael Ronald Grenda,M,22,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,United States of America,5,287,1944.05
Julia Emma Greville (-Radley),F,17,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,United States of America,5,898,1944.05
Robyn Grey-Gardner,F,19,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,Bronze,United States of America,5,287,1944.05
Sam Griffiths,M,44,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,Brazil,1,2868,2868
Tatiana Grigorieva,F,24,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Pole Vault,Silver,Australia,1,1332,1332
Hollie Louise Grima (-Florance),F,24,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Silver,China,1,1739,1739
Alan Geoffrey Grover,M,24,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Silver,Mexico,1,9.8,9.8
Madeline Groves,F,21,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,Silver,Brazil,1,2868,2868
Madeline Groves,F,21,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Brazil,1,2868,2868
David Guest,M,26,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Gary Gullock,M,26,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Quadruple Sculls,Silver,United States of America,5,287,1944.05
Bridgette Marie Gusterson (-Ireland),F,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,Australia,1,1332,1332
Kate Gynther,F,26,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,China,1,1739,1739
Kate Gynther,F,30,Australia,AUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze,United Kingdom,1,2569,2569
Grant George Hackett,M,20,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Australia,1,1332,1332
Grant George Hackett,M,20,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Australia,1,1332,1332
Grant George Hackett,M,24,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,Silver,Greece,1,1494,1494
Grant George Hackett,M,24,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Greece,1,1494,1494
Grant George Hackett,M,24,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Greece,1,1494,1494
Grant George Hackett,M,28,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,China,1,1739,1739
Grant George Hackett,M,28,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,China,1,1739,1739
Toby Christian Haenen,M,22,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,United States of America,5,898,1944.05
"Marcus William ""Mark"" Hager",M,32,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,United States of America,5,898,1944.05
Robert Irwin Haigh,M,23,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Silver,Mexico,1,9.8,9.8
Robert Irwin Haigh,M,31,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver,Canada,3,35,1640
"Robert Rodney ""Rob"" Hammond",M,23,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
"Robert Rodney ""Rob"" Hammond",M,27,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Wayne Gary Hammond,M,27,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver,Canada,3,35,1640
Fiona Hanes-Crawford,F,23,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
Fiona Hanes-Crawford,F,27,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver,Greece,1,1494,1494
Simone Hankin,F,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,Australia,1,1332,1332
Kieran Hansen,M,22,Australia,AUS,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,Norway,1,353,353
"Boden Joseph ""Bo"" Hanson",M,22,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Quadruple Sculls,Bronze,United States of America,5,898,1944.05
"Boden Joseph ""Bo"" Hanson",M,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Bronze,Australia,1,1332,1332
"Boden Joseph ""Bo"" Hanson",M,31,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Bronze,Greece,1,1494,1494
Brooke Louise Hanson (-Clarke),F,26,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,Silver,Greece,1,1494,1494
Brooke Louise Hanson (-Clarke),F,26,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Greece,1,1494,1494
Kelly Hardie,F,30,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
Kelly Hardie,F,38,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze,China,1,1739,1739
Tanya Victoria Harding,F,24,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze,United States of America,5,898,1944.05
Tanya Victoria Harding,F,28,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
Tanya Victoria Harding,F,32,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver,Greece,1,1494,1494
Tanya Victoria Harding,F,36,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze,China,1,1739,1739
Regan Dean Harrison,M,22,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Australia,1,1332,1332
Loretta Harrop,F,29,Australia,AUS,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Women's Olympic Distance,Silver,Greece,1,1494,1494
Kristi Lee Harrower,F,25,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Australia,1,1332,1332
Kristi Lee Harrower,F,29,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver,Greece,1,1494,1494
Kristi Lee Harrower,F,33,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Silver,China,1,1739,1739
Kristi Lee Harrower,F,37,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze,United Kingdom,1,2569,2569
Juliet Haslam,F,27,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,United States of America,5,898,1944.05
Juliet Haslam,F,31,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Australia,1,1332,1332
Rechelle Margaret Hawkes,F,21,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,South Korea,2,403,1839
Rechelle Margaret Hawkes,F,29,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,United States of America,5,898,1944.05
Rechelle Margaret Hawkes,F,33,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Australia,1,1332,1332
"Stephen Mark ""Steve"" Hawkins",M,21,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls,Gold,Spain,1,636,636
Neville Ronald Hayes,M,16,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Butterfly,Silver,Italy,2,1.2,832.2
Neville Ronald Hayes,M,16,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Italy,2,1.2,832.2
Brett Ronald Hayman,M,28,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver,Australia,1,1332,1332
Clyde Hefer,M,23,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze,United States of America,5,287,1944.05
Francis Hegerty,M,25,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,Silver,China,1,1739,1739
Mathew Glen Helm,M,23,Australia,AUS,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,Silver,Greece,1,1494,1494
Mathew Glen Helm,M,23,Australia,AUS,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Synchronized Platform,Bronze,Greece,1,1494,1494
Jodie Clare Henry,F,20,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Freestyle,Gold,Greece,1,1494,1494
Jodie Clare Henry,F,20,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Greece,1,1494,1494
Jodie Clare Henry,F,20,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Greece,1,1494,1494
Michael David Hepburn,M,20,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,United Kingdom,1,2569,2569
Michael David Hepburn,M,24,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Brazil,1,2868,2868
Amy Hetzel,F,25,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,China,1,1739,1739
Bruce Samuel Hick,M,32,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Bronze,United States of America,5,898,1944.05
Mark Christopher Hickman,M,30,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Yvette Higgins,F,22,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,Australia,1,1332,1332
"Alexander ""Alex"" Hill",M,23,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver,Brazil,1,2868,2868
Clinton Rory Hill,M,24,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,Greece,1,1494,1494
Darryn William Hill,M,26,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Team Sprint,Bronze,Australia,1,1332,1332
"Joanne Kay ""Jo"" Hill",F,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Australia,1,1332,1332
Lorraine Mary Hillas (Wharton-),F,26,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,South Korea,2,403,1839
Robin Godfrey Hodder,M,27,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze,Japan,4,1.6,3694.1
Natalie Hodgskin (-Shapiro),F,28,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver,Greece,1,1494,1494
"Stephen Roy ""Steve"" Holland",M,18,Australia,AUS,1976 Summer,1976,Summer,Montreal,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Canada,3,35,1640
"Jennifer Kaye ""Jenny"" Holliday",F,32,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze,United States of America,5,898,1944.05
Stephen Harris Holt,M,25,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Gary Ronald Honey,M,25,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,Silver,United States of America,5,287,1944.05
Leslie Janusz Hooker,M,26,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Quadruple Sculls,Bronze,United States of America,5,898,1944.05
"Steven Leslie ""Steve"" Hooker",M,26,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,Gold,China,1,1739,1739
Kate Jon-Marie Hooper,F,22,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,Australia,1,1332,1332
Kerry Hore,F,23,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze,Greece,1,1494,1494
Kate Hornsey,F,30,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxless Pairs,Silver,United Kingdom,1,2569,2569
"Mackenzie ""Mack"" Horton",M,20,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,Gold,Brazil,1,2868,2868
Glen Clifford Housman,M,20,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Spain,1,636,636
Andrew James Hoy,M,33,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,Spain,1,636,636
Andrew James Hoy,M,37,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,United States of America,5,898,1944.05
Andrew James Hoy,M,41,Australia,AUS,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,Australia,1,1332,1332
Andrew James Hoy,M,41,Australia,AUS,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,Australia,1,1332,1332
Deserie Huddleston-Wakefield-Baynes,F,35,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Women's Double Trap,Bronze,United States of America,5,898,1944.05
"Nicole Elaine ""Nikki"" Hudson (Mott-)",F,24,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Australia,1,1332,1332
"Geoffrey Andrew ""Geoff"" Huegill",M,21,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,Bronze,Australia,1,1332,1332
"Geoffrey Andrew ""Geoff"" Huegill",M,21,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Australia,1,1332,1332
Lydia Ierodiaconou-Lassila,F,28,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Aerials,Gold,Canada,3,1280,1640
